"player_name","eno_rank","mlb_id","Team","Injury","Proj. IP","ppERA","ppK%","Stuff+","Location+","Pitching+","Blurb","2021 IP","2021 End Rank","2022 IP","2022 End Rank","2023 IP","2023 End Rank"
"Kevin Gausman",11,"592332","TOR","C",168,3.78,0.271,103,104,106,"Gausman may never have a plus breaking ball. He’s been trying forever. But it’s been four straight seasons now in which he’s been great, so it’s time to believe in him and his elite splitter. Over those four seasons, he’s struck out around 30 percent of the batters he’s seen and walked fewer than league average, and he hasn’t shown a home run problem. The innings have been there, too. Should he be higher? Should we stop focusing on what he can't do and praise him for what he can do? (A sore shoulder that's keeping him out of spring games may or may not be a big deal, but it's worth noting.)",192,7,174.2,43,185,14
"Logan Gilbert",12,"669302","SEA","A",187,3.84,0.245,116,101,103,"Gilbert made a lot of changes last season. He found a splitter that ended up giving him the highest whiff rate of his pitches. He switched to a true bullet-spin gyro slider that got better results. He got more drop out of his curve than he ever had. In the end, though, he was about the same as he was before. His strikeout rate is slightly better than it looks if you use K/9 (it's actually easily above-average among starters), his walk rate is elite and his league-leading-type extension helps his stuff play up to the hitter. He probably won't be a top-five pitcher at the end of the year, but the floor is very high and the health looks good.",119.1,91,185.2,39,190.2,16
"Zac Gallen",13,"668678","ARI","A",196,4,0.243,103,105,106,"Sometimes, the projections you helped shape don't make a ton of sense to you. Here's Gallen. He's got five average to above-average pitches by Stuff+. He's got great command. He's in a good park for pitchers — a neutral one, at least. His team should hand him wins. He's 28, so age isn't a huge concern yet. He's coming off the eighth-best fantasy season among starting pitchers last year. He's got a clean bill of health. And yet somehow he's projected for a worse ERA if you use his Stuff+ than if you don't. I don't get it! So I'll push him above his ppERA for now.",121.1,118,184,6,210,8
"Framber Valdez",14,"664285","HOU","A",195,3.71,0.234,112,97,100,"Resist the urge to think too hard on Valdez in the playoffs. It wasn't great. But all that sweat and those homers and walks … they were out of form for him, and only amounted to a 12-inning road bump. What really happened last year is that the lefty ramped up usage of an improving cutter and showed the best velocity of his career — that turned into the best whiff rate and second-best strikeout rate of his career. While that did cost him some grounders, fantasy players will prefer the strikeouts. Feel good about the floor here, especially if you went bat-heavy early in your draft.",134.2,42,201.1,24,198,18
"Freddy Peralta",15,"642547","MIL","C",165,3.77,0.279,104,102,102,"It was the tale of two halves for Peralta last season. In the first half, he had a 4.70 ERA with a high walk rate and a bad home run rate. In the second half, he featured his changeup more and threw his slider harder and with more drop. He was rewarded with a 2.81 ERA and the best strikeout-to-walk ratio among starting pitchers. All systems would be good going into this next season except there's still the matter of his lack of bulk and shaky injury history. If you drafted a bulk guy first and want to take a shot at a high-strikeout second starter, he's a great pick. If you need a late ace, it works, but try a bulk guy second.",144.1,13,78,64,165.2,23
"Blake Snell",16,"605483","SFG","C",162,3.88,0.285,111,95,101,"Snell actually lost his slider early in the season, a fact that he pointed to as being beneficial in procuring his second Cy Young Award. That loss inspired him to throw his changeup and curve more often together, and that wrinkle helped him to keep the ball on the ground — weakly hit, at that. It probably also led to the career-worst walk rate, as he traditionally commands the changeup poorly. While there's plenty of regression coming from an unsustainable batting average on balls in play, Snell got his slider back by the end of the season and can probably walk fewer people in the coming seasons. The real question is how many innings he'll provide.",128.2,84,128,49,180,2
"Bobby Miller",17,"676272","LAD","C",162,3.74,0.241,125,103,107,"This is my restrained face. Miller is a god in stuff (and Stuff+), with five pitches that are above-average to elite in the statistic and a 100 mph two-plane fastball that sets up the whole arsenal. His command is fine, not a problem. His health looks good. His home park and team situation is good. That's why the ERA projection is so delectable. Strangely, he barely struck out more batters than average last season. In the lower minors, he had way better strikeout rates, and his second-half strikeout rate was higher than his first-half one, so there's a chance that natural regression and progression will help his case there. But that strikeout question is enough to try to rein in the enthusiasm a bit.",NA,NA,NA,NA,124.1,41
"Grayson Rodriguez",18,"680570","BAL","C",166,3.75,0.264,120,102,107,"Minor-league Stuff+ numbers were killer for Rodriguez. His results were there, too. He looked ready to go. But his early-season struggles (a first-half ERA over seven) reminded us that even the best prospects still have to adjust to the big leagues. In this case, Rodriguez learned to turf the bad cutter and throw the breaking balls harder, and he was great in the second half. A 2.58 ERA with a 24 percent strikeout rate and a seven percent walk rate — that's strong work. The Stuff+-based projections think there's even more swing and miss in there, and the price isn't too high to take the chance … yet.",NA,NA,NA,NA,122,118
"Zach Eflin",19,"621107","TBR","C",171,3.75,0.236,100,109,106,"Eflin had a breakout season in 2023. He threw his cutter and curve more than he ever had before, switched his slider to a sweeper, and got more drop on his changeup than he ever had before. A career-high in strikeouts and a career-low in walk rate is a great combination. To pick the nits, none of his pitches is a standout killer of a pitch — his curve was pretty good by results, with an 18 percent whiff rate, but Stuff+ calls it average and it allowed a .160 isolated slugging percentage. This is more of a command-based wide arsenal, built on a frame that has had injury problems in the past. He may get overdrafted.",105.2,111,75.2,96,177.2,4
"Aaron Nola",20,"605400","PHI","B",195,3.98,0.246,98,107,105,"58th. 18th. 51st. Those are the fantasy finishes for Nola among starting pitchers over the past three seasons. We all love his curveball and his command, and most of us think he's an excellent real-life pitcher, especially after that last postseason run. But he's going back to that same park, with mostly the same defenders behind him, and we have a clear view of what his upsides and downsides have been for fantasy players recently, and he's only getting older … his is one of the bigger differences between real life and fantasy rankings on this list.",180.2,58,205,18,193.2,51
"Max Fried",21,"608331","ATL","C",155,3.95,0.222,95,99,100,"From the files of Derek Van Riper: Fried is one of seven pitchers since 2021 to throw 300 innings of a sub-three ERA. And yet he has never been a darling of Stuff+. At some point, that doesn't really matter much because he's demonstrated the ability to strike out guys at an above-average rate and walk guys at an elite rate. That stuff-generated strikeout rate would be the worst of the past three years and the ERA seems out of place, too. But exactly how healthy is he after the forearm strain that kept him out for three months of the season in 2023? There's a little cluster of guys here that are good but share this risk, so call it a tier if you will.",165.2,17,185.1,15,77.2,42
"Joe Musgrove",22,"605397","SDP","C",172,3.88,0.235,106,104,103,"Musgrove can really spin it. He has three above-average to elite breaking pitches, and he throws them a combined 60 percent of the time. Last year, he added his best sinker and changeup, too, so he's really got a large arsenal, and command of it all. He's been excellent in San Diego and will be there for a while. It's just too bad that he was plagued with health issues last season, ranging from breaking his toe in spring, to bursitis in the elbow, to shoulder inflammation at the end of the season — with a trip to the altitude in Mexico City as an inflammatory factor. That's the only drawback, really.",181.1,18,181,28,97.1,38
"Cole Ragans",23,"666142","KCR","C",165,4.43,0.225,106,101,102,"Ragans exploded onto the scene with a new fastball that was three ticks faster than the one he showed in 2022 — and it only got faster, peaking at a 97 mph average in September (and even faster this spring). That fastball, plus a strong curve and change combo, pushed him to a 29 percent strikeout rate and a tidy 3.47 ERA in 96 innings. His results weren't quite as good in September, when his ERA approached four and his walk rate jumped, but there's a little upside left: He's tinkering with his cutter and a hard slider, with the latter being relatively new. A little more feel with that pitch could push back against any regression.",NA,NA,40,150,96,49
"Dylan Cease",24,"656302","CHW","A",178,4.03,0.278,114,96,102,"This might be surprising: 10 pitchers have thrown at least 300 innings over the past three seasons and have a worse walk rate than Cease. And three of those 10 (Blake Snell, Johan Oviedo, and Patrick Sandoval) also have an ERA that was better than league average over that time frame. This is all to say that Cease doesn't have good command. But it doesn't seem like the kind of huge, honking problem that will either make him one of the worst starting pitchers in baseball or eventually send him to the pen. At the time of this writing, he's a huge-stuff, poor-command starter on a bad team who should bounce back to previously established levels. That's a buy low — before you consider what a trade might do for his value.",165.2,37,184,9,177,163
"Michael King",25,"650633","SDP","F",142,3.88,0.251,107,102,106,"Everything is built on a really good sinker and perhaps the biggest sweeper in the business, but the reason King has been just as dominant a starter as he was a reliever is that he's also got a pretty good four-seamer and changeup. Both of those “secondary” pitches allowed an isolated slugging percentage under .100 last season. The huge question for the new Padres righty is probably volume. After an elbow injury in 2022 that had him ""writhing in pain,"" King came back and put in 104 2/3 innings, tops in his professional career since 2018. Can he continue to throw 95 mph, as he has over his dominant stretch, and also put in 150 innings? Come back in October for an answer. For now, he's saying there are no limits on his innings this year.",63.1,106,NA,NA,104.2,40
"Justin Steele",26,"657006","CHC","B",182,3.9,0.234,105,101,103,"There are a few small things that Steele did in 2023 that led to his breakout. He threw his slider harder, he found more sink on his sinker, he focused in on his two best pitches and he stayed healthy for 30 starts. There's a lot of focus on his strikeout rate, which might not be quite as good as the elite starters out there, but he halved his walk rate between 2022 and 2023, and that was a huge statistical difference in his outcomes. Steele is a little tough to rank as a two-pitch guy with a short track record, but the reality is probably that he's a good starting pitcher, if not a Cy Young Award-type.",57,112,119,94,173.1,12
"Jesus Luzardo",27,"666200","MIA","C",171,4.04,0.255,104,99,101,"Here's what worries me about Luzardo: The biggest difference, pitch-wise, between his six-plus ERA in 2021 and his two mid-three ERA seasons that came after is basically one mph on the fastball. That's it! His slider drops maybe a half-inch more than it used to, he's using the sinker less, but functionally, it looks like just one mph separates 2021 and what came after. At 26 years old, maybe that's not something we need to worry about since velocity loss really starts around 30. But with a slider that is more above-average than elite, poor extension and only average command, it's only that 90th-percentile fastball velocity that's his best foot forward right now.",95.1,207,100.1,52,178.2,43
"Chris Sale",28,"519242","ATL","F",141,4.02,0.271,101,100,99,"Over the past three seasons, Sale has had an ERA under four, struck out nearly 30 percent of the batters he's seen and had an average Stuff+. He's an example of how the model is more useful the smaller your sample is. We know who Sale is by now. He's going to strike out a ton of guys and is increasingly likely to give up homers (which may be exacerbated in Atlanta), and he's also a risk to get hurt. Just over 150 innings — combined — in three seasons is going to give you an F on your health report card.",42.2,78,NA,NA,102.2,64
"Yu Darvish",29,"506433","SDP","F",161,4.13,0.236,107,102,105,"Since 2019, Darvish has alternated decent seasons with better ones, so maybe he's due for a good one! Last year's offensive explosion brought on by the rule changes masked that he was once again decent, with good strikeout and walk numbers and some of his worst luck on balls in play and stranding base runners. The spin is still there, the stuff is still there, the strikeouts are still there, and given good health again (this past injury is actualy a repeat of one he had earlier in his career, before a good season in 2019), he can certainly put together 150+ innings of a good ERA. That's what the track record says.",166.1,46,194.2,12,136.1,117
"Shane Bieber",30,"669456","CLE","C",167,4.08,0.225,96,101,99,"The Stuff model never liked Bieber as much as the on-field results might indicate, but it is nice to see that the post-injury Stuff+ says he recovered his four-seamer to a better place than he'd seen in the previous two seasons. Otherwise, he's built on spin, which ages well, and pitches in a decent enough park in front of a decent enough team that it's probably a good idea to bet on an ERA in the high threes with double-digit wins as long as the forearm issues are behind him. The injury risk has brought the cost down enough to make him an interesting pickup, for now.",96.2,47,200,22,128,80
"Joe Ryan",31,"657746","MIN","B",173,4.47,0.252,87,107,102,"Writ large, Ryan's biggest strength is also a weakness. His best pitch is his funky, deceptive four-seamer, which he throws so often at the top of the zone that he also gives up a ton of homers. He's established an OK splitter (by the models), which could serve as a third option but got hit badly last year as his primary secondary (.568 slugging). The hope is that all that toggling between a harder “gyro” slider and a sweeper last year will produce a great secondary to pair with that fastball and reduce his reliance on the four-seam. That's his path up out of this relative middle ground he finds himself in.",NA,NA,147,37,161.2,54
"Shota Imanaga",32,"684007","CHC","B",163,4.15,0.261,NA,NA,NA,"Sporting a big fastball — big by movement, as it will immediately have top-five ride in MLB as soon as it gets here — and a strong sweeper/splitter combo, Imanaga struck out a ton of people in Japan and is ready to rock. He even had a higher strikeout percentage than countryman Yoshinobu Yamamoto last year in the same league. But there's a home run problem. Maybe one that he can fix with a different approach and some new coaching, but a home run problem nonetheless. His best comps are lefty Joe Ryan or Nestor Cortes, but this ranking hews to his upside.",NA,NA,NA,NA,NA,NA
"Hunter Greene",33,"668881","CIN","C",163,4.09,0.284,119,103,105,"Our first pitcher with modeled stuff that reaches way beyond his on-field results, Greene obviously has his question marks. His walk rate is worse than average, and he gives up a lot of fly balls in a ballpark that loves to turn those into homers. His health report card isn't stellar, and he's a two-pitch pitcher. Yeah, those things are true. Here's another true thing: Among starters with more than 100 innings last season, only Bobby Miller and Gerrit Cole owned a fastball and secondary pitch that were rated as highly by Stuff+. Bet on the upside, harvest the strikeouts either way. Hearing that he's feeling good about a new curve and changeup this spring is really good news.",NA,NA,125.2,101,112,153
"Bryce Miller",34,"682243","SEA","C",143,4.22,0.222,116,104,108,"His mustache, his fastball, and his harder breaking ball are all unassailable. Miller is resplendent. Unfortunately, his high Stuff+ sweeper comes out of his hand so differently that hitters can see it coming and mostly choose not to swing at it. Miller's response has been to focus on his two best pitches and use the sweeper as a ""freeze take"" pitch as he told me. The upside will come from refining that second breaking ball, most likely, but could come from the changeup, too. Bet on the fastball.",NA,NA,NA,NA,131.1,67
"Bryan Woo",35,"693433","SEA","C",153,4.09,0.249,111,102,103,"Woo has two pitches (a fastball and slider), or maybe he has five (that's how many he threw more than fifty times last year). Two above-average fastballs, a great sweeper, and a good hard slider, all rated above-average by Stuff+ — it's a full arsenal. Against lefties, he was a little bit more predictable. His walk rate spiked and he gave up two homers per nine innings. He's still got some work to do there, as the change doesn't seem great. But he's got a good home park and has proven his ability to strike guys out, so he has his strengths, too.",NA,NA,NA,NA,87.2,90
"Sonny Gray",36,"543243","STL","C",159,4.11,0.219,106,100,102,"A sweeper, a harder slider, a cutter, a curveball, a four-seam that cuts ... Gray's got breaking balls on top of breaking balls. He's headed to a good park for pitchers and if the Cards' offense can get going again, he should be OK wins-wise. The strikeouts are almost always there. But health was the difference between 2022, when he was a top-50 pitcher, and 2023, when he was a top-20 pitcher. He's bounced around, innings-wise, in his career — you can count on 100+ innings most years, but will it be 120 or 180? You never know. But that's where he sits in the rankings: He could be great and should provide some innings, but can't be counted on for a full allotment.",135.1,74,119.2,47,184,17
"Justin Verlander",37,"434378","HOU","F",159,4.22,0.235,120,104,108,"Yup, Verlander had a below-average strikeout rate last year, and yup, he's 40. That's going to affect the projections a lot, since strikeouts are the stickiest stat year to year and the most important single result in terms of predicting the future. But the good news is that he still has three average or above-average pitches by Stuff+, and his strikeout percentage was above-average in the second half (when his fastball recovered some missing ride and his slider dropped more like it had before in his career). He's still Justin Verlander, just with a little more risk and a slightly lower ceiling. (And some cobwebs in there somewhere, as his early spring comments about shoulder soreness seemed to suggest.)",NA,NA,175,1,162.1,20
"Tanner Bibee",38,"676440","CLE","C",164,4.37,0.227,101,100,101,"What an excellent rookie effort for Bibee. Like most Guardians prospects, he showed excellent command (good!) and an elite slider (great!) and an iffy fastball with below-average movement (not so great!). At 24, you wouldn't expect much velocity loss, but it's worth pointing out that Bibee was almost two ticks lower in his last three starts than he was in his first three. The excellent secondaries and command should make him a good pitcher every year, but to be as excellent as he was in his debut, every bit of velocity is going to count with that fastball shape.",NA,NA,NA,NA,142,33
"Bailey Ober",39,"641927","MIN","B",166,4.43,0.232,95,106,103,"Ober's poor Stuff+ matters less and less with every passing inning with good results backed by a good strikeout rate and an elite walk rate. His unique combination of height and release point may be confounding the model somehow — those things are definitely confounding hitters. He doesn't throw hard and has a homer issue historically, but a 4.70 ERA projection doesn't seem right either. Expect more of a high-threes, low-fours number with a strong WHIP.",92.1,101,56,76,144.1,32
"Aaron Civale",40,"650644","TBR","C",154,4.2,0.229,93,106,103,"Another pitcher with a feel for spin and an innings issue, Civale is undervalued in many drafts. The case is not quite a slam dunk from an arsenal standpoint. He has an elite curveball, an above-average slider, and an average cutter, so he checks those boxes. Unfortunately, his fastballs are not even average-ish. Batters hit .356 with a .489 slugging against his four-seam, and though the numbers are better against his sinker, he pitches backward with it and the Stuff+ model doesn't like it. He's got some demonstrated results to fall back on, though.",124.1,44,97,124,122.1,50
"Jordan Montgomery",41,"656756","ARI","C",173,4.24,0.205,101,101,99,"It's not just stuff-based projections that are seeing regression for a starter who ran all through the regular and postseason last year — other systems see him with an ERA around four as well. He strikes out batters at a below-average rate, and though he doesn't walk hitters much, his ground-ball rate is middle of the pack as well. Obviously, he has his strengths and can mix his four average-ish pitches with command, and he's kept his ERA below four for three seasons. Maybe he can again, and this ranking reflects that possibility.",157.1,85,178.1,45,188.2,35
"Nick Pivetta",42,"601713","BOS","A",170,4.32,0.262,116,102,106,"A pitcher who has long underperformed his stuff, Pivetta had a bit of a breakout in 2023. He had the fifth-best strikeout rate among starters with 100 innings or more, and put up the best ERA of his career (4.04). At this point, though, the home run problem is established. The argument that he has more in the tank mostly depends on the physical characteristics of his pitches — he has good velocity, throws a really good hard slider (that he's been altering), and has an above-average curve with big drop — but he's also had that stuff forever. He's undervalued, but he may be someone you want to be careful with in shallower leagues. Boston is a tough park.",155,95,179.2,164,142.2,37
"Yusei Kikuchi",43,"579328","TOR","A",173,4.17,0.246,107,100,102,"Kikuchi settled on the best version of his slider in 2023. It had a little less drop than before, but by the end of the season, it was humming along at 88 mph and combining the best ball-in-play results with good whiff numbers and probably the best command of his career. He brought the curve back in gradually throughout the season, and now he looks legit. That 3.39 second-half ERA was backed by excellent strikeout-to-walk numbers and that arsenal change, at least. The command will never be plus, but he's pushed the stuff to the top of his range of outcomes.",157,127,100.2,167,167.2,58
"Merrill Kelly",44,"518876","ARI","A",185,4.54,0.214,97,105,102,"The good: Kelly has one of the best changeups in the game along with a strong curveball, and has pushed his slider into an above-average offering over the past three seasons. He also has displayed top-shelf command every year since he's come back to the league. The bad: Kelly's hard pitches are all below-average pitches (with the four-seam being the worst by Stuff+ and also allowing a .505 slugging last season) and rely solely on that command to perform at a near-average rate. Pitchers with large arsenals and good command can overperform model projections but Kelly's also had two pretty mediocre seasons out of his five in MLB. He'll provide innings at the very least.",158,138,200.1,38,177.2,30
"Carlos Rodon",45,"607074","NYY","F",146,3.97,0.286,113,96,102,"The weirdest thing about Rodón in 2023 was that his pitches were all about the same. The four-seam had the same velo as it did the year before, his slider had the same velo and movement. He even got a lot of whiffs! But he didn't turn that stuff or those whiffs into strikeouts like he used to, and every fly ball seemingly turned into a homer. The theory here is that the balky back (and forearm strain) that kept him off the field also hurt his command on the field when he was out there. A couple of months of rest and rehab might be all it takes to get him back to his projections, but there's no way to argue with that health grade, which will be too much risk for many to stomach. And this spring his velocity isn't quite back yet, either.",132.2,9,178,14,64.1,185
"Jose Berrios",46,"621244","TOR","A",179,4.38,0.216,94,104,101,"He's had two pretty good seasons around a terrible one, and he's done it with average-ish stuff and command each year, so it's tempting to say the mid-threes ERA guy is who Berríos is, true talent-wise. And maybe that's true! But if his upside is the 44th-best fantasy starting pitcher — which is where he ended up last year — then his best foot forward is really the volume. He's seventh in innings pitched over the past three seasons. He did have the best ride of his career on his four-seamer last year, but otherwise he is who he is: a decent pitcher who should put up innings and has a non-zero chance of putting together a disasterpiece of a season.",192,20,172,198,189.2,44
"Eury Perez",47,"691587","MIA","C",121,3.97,0.267,118,98,105,"How about a 98 mph fastball with an 86 mph power-curve-type slider, another 80-plus mph breaking ball with distinctly different movement, and oh yeah, that patented Marlins power change at 90 mph? It's gobs and gobs of stuff for Pérez, just dripping with it. The only question is how often he'll leave something middle-middle (home-run rate) and how the team will treat him (innings). He gave up a homer and a half last season, but that could improve, given what looks like average command. The Marlins gave him 128 innings, and he should put up more than that in his sophomore season. How quickly will the peak come? Will the new shape on the curveball this spring be a big deal?",NA,NA,NA,NA,91.1,48
"Hunter Brown",48,"686613","HOU","C",168,3.9,0.249,101,101,99,"Just about every month, Brown added another run to his ERA in 2023. It's hard to pinpoint one culprit since he has two really strong breaking balls and a fastball with really good velocity. The scouting reports gave him poor command on the way up, and his fastball locations are probably a big part of the blame ... but he had a 99 Location+ on the fastball, and was above-average in that stat in September, his worst month, suggesting he's not far from putting it all back together and being more like the pitcher we saw in the first two months last year when he had a 3.61 ERA and a 29 percent strikeout rate. He's still an exciting young pitcher with question marks, right in the middle of a little tier of those types.",NA,NA,NA,NA,155.2,146
"Chris Bassitt",49,"605135","TOR","C",194,4.43,0.208,93,101,98,"Bassitt is top 10 in innings over the past three seasons, and he's done it with a 3.41 ERA. He's been a top-40 fantasy pitcher in each of those seasons, too. So why is he down here, worse than his worst season in the past three? Maybe he should be higher, but it's worth pointing out that every ERA estimator has put Bassitt around a half-run higher than his on-field results, he's lost velocity in each of the past two offseasons (and this spring, yet again), and no projection system has him under a four ERA for next season. His breaking pitches grade out well and he throws a lot of pitches with good command, but as that velocity drops, his hard pitches (none of which registers over a 91 Stuff+) are going to get worse and worse. Given how close to average his strikeout rates are, it just seems like a riskier package than his three-year ERA would suggest it is.",157.1,19,181.2,35,200,22
"Nestor Cortes",50,"641482","NYY","C",145,4.35,0.246,95,103,102,"Cortes had a bad year. Or at least, by ERA he did, with a number nearing five. But his strikeout and walk rates were better than average, and his strikeout-to-walk ratio was in the top third of the league. He only stranded 69 percent of the batters that got on base, and that number has been 78 percent for his career, so there was some bad luck. He does look like someone who will give up homers, though, and that will keep his ERA above four, especially in Yankee Stadium. Then again, the league's ERA is over 4.30 now, so that's still valuable production, and it should come with more wins in 2024. This spring, he's gotten extra ride and velo on his four-seamer, which speaks well to his health.",93,54,158.1,13,63.1,111
"Gavin Williams",51,"668909","CLE","C",159,4.41,0.236,95,101,102,"The two-plane four-seam fastball Williams throws is above-average in both movement and velocity and provides a great foundation. His power bullet slider is also above average in velocity and outcomes. He doesn't seem to trust the changeup, and it doesn't get good results, so the real question is if the curveball can be the third pitch that helps him turn the lineup over. Batters hit .151 and slugged .288 off it last year, with above-average whiffs, so maybe the poor Stuff+ is missing something, or maybe it just works as a third alternative and shouldn't get more playing time. Either way, the park (at least early in the year) is decent and his on-field results were strong.",NA,NA,NA,NA,82,81
"Nathan Eovaldi",52,"543135","TEX","F",161,4.28,0.219,98,100,99,"The story is much wilder than the outcomes, in the end. Every year, Eovaldi starts the year with great velocity and lights the league on fire with his splitter and a deadly fastball. An undervalued sleeper making good! Then the velo drops. Three years combined now, he's allowed a .679 OPS in the first half and a .757 in the second half. Those kinds of splits aren't normally predictive, but there's a reason here for the slides. Despite all that, he's been a top-40 fantasy starter in two of those years and useful in the other. Don't count on him for a full season of value. One-hundred good innings and then some tough decisions, that's about right.",182.1,40,109.1,91,144,36
"Seth Lugo",53,"607625","KCR","F",160,4.34,0.21,100,103,102,"Why didn't any other team step to the table if the cost of acquiring Lugo was only $45 million over three years? He has what it takes to be a starter in terms of arsenal: two decent enough fastballs and two elite breaking balls, with the possibility of a third in the sweeper he threw 91 times last year. He can spin the ball well — he's always at the top of the RPM leaderboards — and spin ages well. He's 33, but it's not like he has a ton of mileage on his arm. I'm into Lugo.",NA,NA,NA,NA,146.1,52
